nb_ref_company1,nb_ref_company2,ngram_range,max_df,similarity_threshold,true_positives,false_positives,false_negatives,precision,recall,f_measure,processing_time,tpr,true_negatives,fpr
1363,3226,"(1, 2)",0.1,0,1240,141538,60,0.008684811385507571,0.9538461538461539,0.01721289856883077,222.77409195899963,0.9538461538461539,4254200,0.03219891631393864
1363,3226,"(1, 2)",0.1,0.05,1239,40217,61,0.029887109224237745,0.953076923076923,0.05795677799607072,257.6712119579315,0.953076923076923,4355521,0.00914908941342728
1363,3226,"(1, 2)",0.1,0.1,1220,14309,80,0.07856268916221264,0.9384615384615385,0.14498781864638424,285.26388597488403,0.9384615384615385,4381429,0.0032551985582398224
1363,3226,"(1, 2)",0.1,0.15000000000000002,1195,7987,105,0.13014593770420388,0.9192307692307692,0.22800992177065443,301.38306498527527,0.9192307692307692,4387751,0.001816987272671847
1363,3226,"(1, 2)",0.1,0.2,1162,5141,138,0.18435665556084405,0.8938461538461538,0.30566881494147047,268.0759768486023,0.8938461538461538,4390597,0.0011695419517723758
1363,3226,"(1, 2)",0.1,0.25,1128,3683,172,0.23446268966950737,0.8676923076923077,0.36917034855179187,209.79952001571655,0.8676923076923077,4392055,0.0008378570333354718
1363,3226,"(1, 2)",0.1,0.3,1083,2680,217,0.2878022854105767,0.833076923076923,0.4278095990519455,206.42076921463013,0.833076923076923,4393058,0.0006096814687317579
1363,3226,"(1, 2)",0.1,0.35,1000,1982,300,0.335345405767941,0.7692307692307693,0.4670714619336758,207.53850412368774,0.7692307692307693,4393756,0.0004508912951590836
1363,3226,"(1, 2)",0.1,0.39999999999999997,920,1460,380,0.3865546218487395,0.7076923076923077,0.5,209.37596797943115,0.7076923076923077,4394278,0.00033213990460759945
1363,3226,"(1, 2)",0.1,0.44999999999999996,847,1080,453,0.4395433316035288,0.6515384615384615,0.5249457700650759,209.80865097045898,0.6515384615384615,4394658,0.00024569253217548455
1363,3226,"(1, 2)",0.1,0.49999999999999994,745,772,555,0.4911008569545155,0.573076923076923,0.528931487397941,207.46954607963562,0.573076923076923,4394966,0.0001756246618884019
1363,3226,"(1, 2)",0.1,0.5499999999999999,655,511,645,0.5617495711835334,0.5038461538461538,0.5312246553122466,209.07051396369934,0.5038461538461538,4395227,0.0001162489666126598
1363,3226,"(1, 2)",0.1,0.6,542,348,758,0.6089887640449438,0.4169230769230769,0.4949771689497717,211.4838409423828,0.4169230769230769,4395390,7.916759370098946e-05
1363,3226,"(1, 2)",0.1,0.65,449,234,851,0.657393850658858,0.3453846153846154,0.45284921835602626,208.4903450012207,0.3453846153846154,4395504,5.323338197135498e-05
1363,3226,"(1, 2)",0.1,0.7000000000000001,360,164,940,0.6870229007633588,0.27692307692307694,0.39473684210526316,210.09422373771667,0.27692307692307694,4395574,3.730886599701802e-05
1363,3226,"(1, 2)",0.1,0.7500000000000001,284,116,1016,0.71,0.21846153846153846,0.3341176470588235,207.07950472831726,0.21846153846153846,4395622,2.638919790032982e-05
1363,3226,"(1, 2)",0.1,0.8000000000000002,197,60,1103,0.7665369649805448,0.15153846153846154,0.2530507385998716,208.0076208114624,0.15153846153846154,4395678,1.3649585120860251e-05
1363,3226,"(1, 2)",0.1,0.8500000000000002,129,36,1171,0.7818181818181819,0.09923076923076923,0.17610921501706484,207.64920926094055,0.09923076923076923,4395702,8.189751072516151e-06
1363,3226,"(1, 2)",0.1,0.9000000000000002,81,17,1219,0.826530612244898,0.06230769230769231,0.11587982832618027,208.53111505508423,0.06230769230769231,4395721,3.867382450910405e-06
1363,3226,"(1, 2)",0.1,0.9500000000000003,58,5,1242,0.9206349206349206,0.04461538461538461,0.0851063829787234,206.25134110450745,0.04461538461538461,4395733,1.1374654267383542e-06
